code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89333,Saint-André-en-Terre-Plaine,Rural à habitat dispersé,2,Tourisme rural,0.0154,0.0111,0.7014,0.2722,1
89334,Le Val d'Ocre,Rural à habitat dispersé,2,Tourisme rural,0.0153,0.01,0.649,0.3257,1
89335,Saint-Aubin-sur-Yonne,Rural à habitat dispersé,2,Tourisme rural,0.0141,0.0099,0.8752,0.1008,1
89336,Saint-Brancher,Rural à habitat dispersé,2,Tourisme rural,0.0118,0.0055,0.7837,0.1989,1
89337,Saint-Bris-le-Vineux,Rural à habitat dispersé,2,Tourisme rural,0.0299,0.0148,0.711,0.2443,1
89338,Saint-Clément,Ceintures urbaines,3,Tourisme litoral,0.3104,0.0413,0.2574,0.3909,1
89339,Sainte-Colombe,Rural à habitat dispersé,2,Tourisme rural,0.0079,0.0036,0.8614,0.127,1
89341,Saint-Cyr-les-Colons,Rural à habitat dispersé,2,Tourisme rural,0.0202,0.0092,0.6548,0.3158,1
89342,Saint-Denis-lès-Sens,Ceintures urbaines,2,Tourisme rural,0.1014,0.0366,0.4351,0.4269,1
89344,Saint-Fargeau,Bourgs ruraux,2,Tourisme rural,0.0203,0.0097,0.7976,0.1724,1
89345,Saint-Florentin,Bourgs ruraux,2,Tourisme rural,0.0571,0.0216,0.6087,0.3125,1
89346,Saint-Georges-sur-Baulche,Ceintures urbaines,3,Tourisme litoral,0.3264,0.0507,0.2533,0.3696,1
89347,Saint-Germain-des-Champs,Rural à habitat très dispersé,2,Tourisme rural,0.0199,0.0049,0.8357,0.1395,1
89348,Saint-Julien-du-Sault,Bourgs ruraux,2,Tourisme rural,0.0383,0.0238,0.6501,0.2877,1
89349,Saint-Léger-Vauban,Rural à habitat très dispersé,2,Tourisme rural,0.0415,0.008,0.6701,0.2805,1
89350,Saint-Loup-d'Ordon,Rural à habitat très dispersé,2,Tourisme rural,0.0248,0.0173,0.5427,0.4152,1
89351,Sainte-Magnance,Rural à habitat dispersé,2,Tourisme rural,0.0167,0.0085,0.6707,0.3041,1
89352,Saint-Martin-des-Champs,Rural à habitat très dispersé,2,Tourisme rural,0.0156,0.0114,0.6402,0.3328,1
